Date,HomeTeam,AwayTeam,outcome_by_HOME,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM
1/2/16,Norwich,Southampton,W,8.172,3.326,2.458,20,7,0,0
1/2/16,Sunderland,Aston Villa,W,7.668,3.12,3.004,16,17,1,0
1/2/16,Watford,Man City,L,9.689,4.007,2.079,20,2,0,-1
1/2/16,West Brom,Stoke,W,7.893,3.083,2.774,13,9,0,1
1/2/16,West Ham,Liverpool,W,8.771,3.506,2.252,12,6,1,0
1/3/16,Crystal Palace,Chelsea,L,8.675,3.426,2.299,10,1,0,0
1/3/16,Everton,Tottenham,D,7.904,3.334,2.641,11,5,-1,-1
1/12/16,Aston Villa,Crystal Palace,W,8.136,3.171,2.57,17,10,0,0
1/12/16,Bournemouth,West Ham,L,7.374,3.345,3.671,20,12,-1,0
1/12/16,Newcastle,Man United,D,9.622,3.778,2.139,15,4,0,1
1/13/16,Chelsea,West Brom,D,7.048,4.064,7.638,1,13,-1,1
1/13/16,Liverpool,Arsenal,D,8.007,3.317,2.573,6,3,0,0
1/13/16,Man City,Everton,D,7.122,4.17,5.825,2,11,-1,0
1/13/16,Southampton,Watford,W,7.334,3.237,3.866,7,20,0,0
1/13/16,Stoke,Norwich,W,7.35,3.177,3.829,9,20,0,1
1/13/16,Swansea,Sunderland,L,7.195,3.387,4.649,8,16,-1,0
1/13/16,Tottenham,Leicester,L,7.1,3.51,4.518,5,14,0,1
1/16/16,Aston Villa,Leicester,D,8.039,3.351,2.357,17,14,-1,1
1/16/16,Bournemouth,Norwich,W,6.834,3.317,4.123,20,20,1,1
1/16/16,Chelsea,Everton,D,6.784,3.512,4.325,1,11,1,-1
1/16/16,Man City,Crystal Palace,W,6.641,4.509,7.922,2,10,-1,1
1/16/16,Newcastle,West Ham,W,7.319,3.228,2.838,15,12,-1,-1
1/16/16,Southampton,West Brom,W,6.719,3.357,5.091,7,13,0,1
1/16/16,Tottenham,Sunderland,W,6.626,4.54,8.513,5,16,-1,-1
1/17/16,Liverpool,Man United,L,7.149,3.144,3.166,6,4,0,1
1/17/16,Stoke,Arsenal,D,8.574,3.586,2.19,9,3,0,-1
1/18/16,Swansea,Watford,W,7.06,3.135,3.107,8,20,0,1
1/23/16,Crystal Palace,Tottenham,L,8.251,3.35,2.336,10,5,1,-1
1/23/16,Leicester,Stoke,W,7.161,3.215,3.613,14,9,1,0
1/23/16,Man United,Southampton,L,7.033,3.229,4.299,4,7,-1,-1
1/23/16,Norwich,Liverpool,L,8.751,3.526,2.211,20,6,1,1
1/23/16,Sunderland,Bournemouth,D,7.817,3.22,2.555,16,20,1,-1
1/23/16,Watford,Newcastle,W,7.171,3.257,3.558,20,15,1,-1
1/23/16,West Brom,Aston Villa,D,7.21,3.066,3.62,13,17,-1,-1
1/23/16,West Ham,Man City,D,9.361,4.021,2.084,12,2,0,1
1/24/16,Arsenal,Chelsea,L,7.195,3.265,3.607,3,1,1,-1
1/24/16,Everton,Swansea,L,6.941,3.501,4.932,11,8,1,-1
2/2/16,Arsenal,Southampton,D,7.301,3.368,4.715,3,7,-1,0
2/2/16,Crystal Palace,Bournemouth,L,7.766,3.121,3.047,10,20,1,1
2/2/16,Leicester,Liverpool,W,7.811,3.207,2.783,14,6,-1,-1
2/2/16,Man United,Stoke,W,7.253,3.43,5.311,4,9,0,-1
2/2/16,Norwich,Tottenham,L,9.223,3.733,2.138,20,5,-1,-1
2/2/16,Sunderland,Man City,L,11.467,4.862,2.104,16,2,1,1
2/2/16,West Brom,Swansea,D,7.88,2.99,2.983,13,8,1,1
2/2/16,West Ham,Aston Villa,W,7.377,3.28,4.165,12,17,-1,-1
2/3/16,Everton,Newcastle,W,7.177,3.71,4.81,11,15,1,1
2/3/16,Watford,Chelsea,D,8.979,3.485,2.223,20,1,-1,1
2/6/16,Aston Villa,Norwich,W,7.302,3.116,3.062,17,20,-1,-1
2/6/16,Liverpool,Sunderland,D,6.706,4.14,7.406,6,16,0,-1
2/6/16,Man City,Leicester,L,6.793,3.769,5.359,2,14,0,1
2/6/16,Newcastle,West Brom,W,7.119,3.163,3.448,15,13,0,-1
2/6/16,Southampton,West Ham,W,6.379,3.429,4.829,7,12,1,0
2/6/16,Stoke,Everton,L,7.473,3.233,2.783,9,11,1,0
2/6/16,Swansea,Crystal Palace,D,7.151,3.115,3.367,8,10,0,0
2/6/16,Tottenham,Watford,W,6.607,3.866,6.642,5,20,1,0
2/7/16,Bournemouth,Arsenal,L,8.415,3.478,2.245,20,3,0,0
2/7/16,Chelsea,Man United,D,7.09,3.13,3.646,1,4,0,0
2/13/16,Bournemouth,Stoke,L,7.05,3.187,3.689,20,9,-1,-1
2/13/16,Chelsea,Newcastle,W,6.729,4.173,6.841,1,15,1,-1
2/13/16,Crystal Palace,Watford,L,7.175,3.109,3.349,10,20,0,1
2/13/16,Everton,West Brom,L,6.741,3.754,6.335,11,13,1,1
2/13/16,Norwich,West Ham,D,7.36,3.233,2.956,20,12,1,0
2/13/16,Sunderland,Man United,W,9.349,3.791,2.14,16,4,-1,1
2/13/16,Swansea,Southampton,L,7.794,3.195,2.551,8,7,-1,1
2/14/16,Arsenal,Leicester,W,6.887,3.677,4.353,3,14,-1,-1
2/14/16,Aston Villa,Liverpool,L,8.984,3.661,2.186,17,6,0,1
2/14/16,Man City,Tottenham,L,7.079,3.365,3.532,2,5,-1,0
2/27/16,Leicester,Norwich,W,7.082,3.95,5.714,14,20,0,1
2/27/16,Southampton,Chelsea,L,7.983,3.201,2.605,7,1,-1,0
2/27/16,Stoke,Aston Villa,W,7.117,3.418,5.285,9,17,-1,-1
2/27/16,Watford,Bournemouth,D,7.614,3.142,3.038,20,20,1,1
2/27/16,West Brom,Crystal Palace,W,7.828,3.062,2.829,13,10,0,-1
2/27/16,West Ham,Sunderland,W,7.238,3.383,4.153,12,16,0,-1
2/28/16,Tottenham,Swansea,W,6.587,3.895,7.35,5,8,1,0
2/28/16,Man United,Arsenal,W,7.714,3.227,2.52,4,3,1,1
3/1/16,Aston Villa,Everton,L,9.098,3.677,2.176,17,11,-1,1
3/1/16,Bournemouth,Southampton,W,7.871,3.188,2.667,20,7,-1,-1
3/1/16,Leicester,West Brom,D,7.042,3.489,5.117,14,13,-1,1
3/1/16,Norwich,Chelsea,L,9.763,4.075,2.086,20,1,1,-1
3/1/16,Sunderland,Crystal Palace,D,7.595,3.172,2.983,16,10,-1,0
3/2/16,Arsenal,Swansea,L,6.932,4.568,8.455,3,8,1,1
3/2/16,Liverpool,Man City,W,7.603,3.257,2.765,6,2,-1,1
3/2/16,Man United,Watford,W,7.026,3.471,5.433,4,20,1,-1
3/2/16,Stoke,Newcastle,W,7.202,3.29,3.913,9,15,0,1
3/2/16,West Ham,Tottenham,W,8.702,3.512,2.231,12,5,-1,0
3/5/16,Chelsea,Stoke,D,6.963,3.868,6.396,1,9,-1,1
3/5/16,Everton,West Ham,L,7.096,3.589,4.609,11,12,1,-1
3/5/16,Man City,Aston Villa,W,6.957,5.914,13.592,2,17,-1,1
3/5/16,Newcastle,Bournemouth,L,7.707,3.232,2.757,15,20,-1,-1
3/5/16,Southampton,Sunderland,D,6.98,3.628,5.75,7,16,-1,0
3/5/16,Swansea,Norwich,W,7.108,3.227,3.803,8,20,0,1
3/5/16,Tottenham,Arsenal,D,7.545,3.269,2.976,5,3,-1,1
3/5/16,Watford,Leicester,L,7.817,3.244,2.559,20,14,1,1
3/6/16,Crystal Palace,Liverpool,L,8.26,3.389,2.294,10,6,-1,-1
3/6/16,West Brom,Man United,W,8.658,3.438,2.226,13,4,1,1
3/12/16,Bournemouth,Swansea,W,6.971,3.202,3.958,20,8,-1,1
3/12/16,Norwich,Man City,D,10.023,4.27,2.084,20,2,1,-1
3/12/16,Stoke,Southampton,L,7.521,3.112,2.778,9,7,-1,1
3/13/16,Aston Villa,Tottenham,L,10.979,4.641,2.113,17,5,-1,1
3/14/16,Leicester,Newcastle,W,6.561,3.749,5.478,14,15,0,1
3/19/16,Chelsea,West Ham,D,7.07,3.554,4.62,1,12,-1,1
3/19/16,Crystal Palace,Leicester,L,7.986,3.24,2.533,10,14,-1,0
3/19/16,Everton,Arsenal,L,7.74,3.409,2.636,11,3,-1,-1
